text,label
i need price,MATTRESS_COST
need store,DISTRIBUTORS
how is sof mattress different from,ABOUT_SOF_MATTRESS
state of this order,ORDER_STATUS
where is my product,ORDER_STATUS
is the mattress good for my back,COMPARISON
type of foam used,PRODUCT_VARIANTS
can i cancel my order here,CANCEL_ORDER
cash on delivery is acceptable?,COD
difference between the products,COMPARISON
mattress cost,MATTRESS_COST
i want to check products,PRODUCT_VARIANTS
return my product,RETURN_EXCHANGE
need some help in changing size of the mattress,SIZE_CUSTOMIZATION
mrp,MATTRESS_COST
what is the status?,ORDER_STATUS
what will be the price,MATTRESS_COST
status of my order,ORDER_STATUS
no cost emi is available?,EMI
can i get delivery on this pincode,CHECK_PINCODE
how to order,LEAD_GEN
show more mattress,PRODUCT_VARIANTS
ergo mattress,ERGO_FEATURES
view products,PRODUCT_VARIANTS
it's already one month,DELAY_IN_DELIVERY
it's been a month,DELAY_IN_DELIVERY
i want cancel my order,CANCEL_ORDER
what is sof,ABOUT_SOF_MATTRESS
king size,WHAT_SIZE_TO_ORDER
can i visit sof mattress showroom,DISTRIBUTORS
is it orthopaedic,ORTHO_FEATURES
back ache issue,ORTHO_FEATURES
interested in buying,LEAD_GEN
i am looking the mattress,PRODUCT_VARIANTS
i want to buy on emi,EMI
what are the mattress variants,PRODUCT_VARIANTS
i want to return my mattress,RETURN_EXCHANGE
do you accept paisa emi card,EMI
cancel the order,CANCEL_ORDER
can i do cod?,COD
price,MATTRESS_COST
0% emi.,EMI
can i try a mattress first,100_NIGHT_TRIAL_OFFER
i want to buy this,LEAD_GEN
which mattress to buy?,COMPARISON
6*3,WHAT_SIZE_TO_ORDER
need pair of pillows,PILLOWS
why sof mattress,ABOUT_SOF_MATTRESS
compare ergo & ortho variants,COMPARISON
custom size,SIZE_CUSTOMIZATION
cash on delivery is available,COD
100 night,100_NIGHT_TRIAL_OFFER
order #,ORDER_STATUS
mattress comparison,COMPARISON
distributors,DISTRIBUTORS
help me with exchange process,RETURN_EXCHANGE
product variants,PRODUCT_VARIANTS
how to get in touch?,LEAD_GEN
can you deliver on my pincode,CHECK_PINCODE
paisa finance,EMI
can you make delivery on this pin code?,CHECK_PINCODE
how can i cancel my order,CANCEL_ORDER
want to know about warranty,WARRANTY
i want to cancel my order,CANCEL_ORDER
what is the 100-night offer,100_NIGHT_TRIAL_OFFER
help me with different products,PRODUCT_VARIANTS
it's delayed,DELAY_IN_DELIVERY
i want a call back,LEAD_GEN
cod option is availble?,COD
where is my order,ORDER_STATUS
process of cancelling order,CANCEL_ORDER
schedule a callback,LEAD_GEN
would interested in warranty details,WARRANTY
want to get in touch,LEAD_GEN
i want to buy a mattress,PRODUCT_VARIANTS
customise size,SIZE_CUSTOMIZATION
can i buy pillows from here,PILLOWS
do you deliver to my pincode,CHECK_PINCODE
how much does a sof mattress cost,MATTRESS_COST
i need my order status,ORDER_STATUS
